Tanggal,Kurs
2-Jun-20,14502
3-Jun-20,14245
4-Jun-20,14165
5-Jun-20,14100
8-Jun-20,13956
9-Jun-20,13973
10-Jun-20,14083
11-Jun-20,14014
12-Jun-20,14257
15-Jun-20,14228
16-Jun-20,14155
17-Jun-20,14234
18-Jun-20,14186
19-Jun-20,14242
22-Jun-20,14209
23-Jun-20,14265
24-Jun-20,14160
25-Jun-20,14231
26-Jun-20,14239
29-Jun-20,14369
30-Jun-20,14302
1-Jul-20,14341
2-Jul-20,14516
3-Jul-20,14566
6-Jul-20,14547
7-Jul-20,14456
8-Jul-20,14460
9-Jul-20,14446
10-Jul-20,14501
13-Jul-20,14486
14-Jul-20,14512
15-Jul-20,14616
16-Jul-20,14632
17-Jul-20,14780
20-Jul-20,14832
21-Jul-20,14813
22-Jul-20,14655
23-Jul-20,14669
24-Jul-20,14614
27-Jul-20,14605
28-Jul-20,14543
29-Jul-20,14570
30-Jul-20,14653
3-Aug-20,14713
4-Aug-20,14697
5-Aug-20,14623
6-Aug-20,14587
7-Aug-20,14647
10-Aug-20,14750
11-Aug-20,14728
12-Aug-20,14777
13-Aug-20,14877
14-Aug-20,14917
18-Aug-20,14907
19-Aug-20,14786
24-Aug-20,14794
25-Aug-20,14632
26-Aug-20,14636
27-Aug-20,14714
28-Aug-20,14702
31-Aug-20,14554
1-Sep-20,14615
2-Sep-20,14804
3-Sep-20,14818
4-Sep-20,14792
7-Sep-20,14754
8-Sep-20,14798
9-Sep-20,14853
10-Sep-20,14871
11-Sep-20,14979
14-Sep-20,14974
15-Sep-20,14870
16-Sep-20,14844
17-Sep-20,14878
