Tanggal,Kurs
18-Sep-20,14768
21-Sep-20,14723
22-Sep-20,14782
23-Sep-20,14835
24-Sep-20,14949
25-Sep-20,14951
28-Sep-20,14959
29-Sep-20,14920
30-Sep-20,14918
1-Oct-20,14876
2-Oct-20,14890
5-Oct-20,14867
6-Oct-20,14712
7-Oct-20,14784
8-Oct-20,14750
9-Oct-20,14737
12-Oct-20,14746
13-Oct-20,14793
14-Oct-20,14780
15-Oct-20,14760
16-Oct-20,14766
19-Oct-20,14741
20-Oct-20,14729
21-Oct-20,14658
22-Oct-20,14697
23-Oct-20,14738
26-Oct-20,14697
27-Oct-20,14690
2-Nov-20,14718
3-Nov-20,14609
4-Nov-20,14557
5-Nov-20,14439
6-Nov-20,14321
9-Nov-20,14172
10-Nov-20,14015
11-Nov-20,14076
12-Nov-20,14187
13-Nov-20,14222
16-Nov-20,14139
17-Nov-20,14073
18-Nov-20,14118
19-Nov-20,14167
20-Nov-20,14228
23-Nov-20,14164
24-Nov-20,14196
25-Nov-20,14169
26-Nov-20,14130
27-Nov-20,14145
30-Nov-20,14128
